28 July 2018 (2018-07-28), Barcelona  ,2–2 (5–3 p),  Tottenham Hotspur 
31 July 2018 (2018-07-31), Barcelona  ,2–4,  Roma 
4 August 2018 (2018-08-04), Milan  ,1–0,  Barcelona 
15 August 2018 (2018-08-15), Barcelona  ,3–0,  Boca Juniors 
6 March 2019, Barcelona ,0–1, Girona 
18 August 2018 (2018-08-18), Barcelona ,3–0, Alavés 
25 August 2018 (2018-08-25), Valladolid ,0–1, Barcelona 
2 September 2018 (2018-09-02), Barcelona ,8–2, Huesca 
15 September 2018 (2018-09-15), Real Sociedad ,1–2, Barcelona 
23 September 2018 (2018-09-23), Barcelona ,2–2, Girona 
26 September 2018 (2018-09-26), Leganés ,2–1, Barcelona 
29 September 2018 (2018-09-29), Barcelona ,1–1, Athletic Bilbao 
7 October 2018 (2018-10-07), Valencia ,1–1, Barcelona 
20 October 2018 (2018-10-20), Barcelona ,4–2, Sevilla 
28 October 2018 (2018-10-28), Barcelona ,5–1, Real Madrid 
4 November 2018 (2018-11-04), Rayo Vallecano ,2–3, Barcelona 
11 November 2018 (2018-11-11), Barcelona ,3–4, Real Betis 
24 November 2018 (2018-11-24), Atlético Madrid ,1–1, Barcelona 
2 December 2018 (2018-12-02), Barcelona ,2–0, Villarreal 
8 December 2018 (2018-12-08), Espanyol ,0–4, Barcelona 
16 December 2018 (2018-12-16), Levante ,0–5, Barcelona 
22 December 2018 (2018-12-22), Barcelona ,2–0, Celta Vigo 
6 January 2019 (2019-01-06), Getafe ,1–2, Barcelona 
13 January 2019 (2019-01-13), Barcelona ,3–0, Eibar 
20 January 2019 (2019-01-20), Barcelona ,3–1, Leganés 
27 January 2019 (2019-01-27), Girona ,0–2, Barcelona 
2 February 2019 (2019-02-02), Barcelona ,2–2, Valencia 
10 February 2019 (2019-02-10), Athletic Bilbao ,0–0, Barcelona 
16 February 2019 (2019-02-16), Barcelona ,1–0, Valladolid 
23 February 2019 (2019-02-23), Sevilla ,2–4, Barcelona 
2 March 2019 (2019-03-02), Real Madrid ,0–1, Barcelona 
9 March 2019 (2019-03-09), Barcelona ,3–1, Rayo Vallecano 
17 March 2019 (2019-03-17), Real Betis ,1–4, Barcelona 
30 March 2019 (2019-03-30), Barcelona ,2–0, Espanyol 
2 April 2019 (2019-04-02), Villarreal ,4–4, Barcelona 
6 April 2019 (2019-04-06), Barcelona ,2–0, Atlético Madrid 
13 April 2019 (2019-04-13), Huesca ,0–0, Barcelona 
20 April 2019 (2019-04-20), Barcelona ,2–1, Real Sociedad 
23 April 2019 (2019-04-23), Alavés ,0–2, Barcelona 
27 April 2019 (2019-04-27), Barcelona ,1–0, Levante 
4 May 2019 (2019-05-04), Celta Vigo ,2–0, Barcelona 
12 May 2019 (2019-05-12), Barcelona ,2–0, Getafe 
19 May 2019 (2019-05-19), Eibar ,2–2, Barcelona 
31 October 2018 (2018-10-31), Cultural Leonesa ,0–1, Barcelona 
5 December 2018 (2018-12-05), Barcelona ,4–1 (5–1 agg.), Cultural Leonesa 
10 January 2019, Levante ,2–1, Barcelona 
17 January 2019, Barcelona ,3–0 (4–2 agg.), Levante 
23 January 2019, Sevilla ,2–0, Barcelona 
30 January 2019, Barcelona ,6–1 (6–3 agg.), Sevilla 
6 February 2019, Barcelona ,1–1, Real Madrid 
27 February 2019, Real Madrid ,0–3 (1–4 agg.), Barcelona 
25 May 2019, Barcelona ,1–2, Valencia 
12 August 2018 (2018-08-12), Sevilla ,1–2, Barcelona 
18 September 2018 (2018-09-18), Barcelona  ,4–0,  PSV Eindhoven 
3 October 2018 (2018-10-03), Tottenham Hotspur  ,2–4,  Barcelona 
24 October 2018, Barcelona  ,2–0,  Internazionale 
6 November 2018, Internazionale  ,1–1,  Barcelona 
28 November 2018 (2018-11-28), PSV Eindhoven  ,1–2,  Barcelona 
11 December 2018 (2018-12-11), Barcelona  ,1–1,  Tottenham Hotspur 
19 February 2019, Lyon  ,0–0,  Barcelona 
13 March 2019, Barcelona  ,5–1 (5–1 agg.),  Lyon 
10 April 2019, Manchester United  ,0–1,  Barcelona 
16 April 2019, Barcelona  ,3–0 (4–0 agg.),  Manchester United 
1 May 2019, Barcelona  ,3–0,  Liverpool 
7 May 2019, Liverpool  ,4–0 (4–3 agg.),  Barcelona 
