28 July 2018, Barcelona  ,2–2 ,  Tottenham Hotspur 
31 July 2018, Barcelona  ,2–4,  Roma 
4 August 2018, Milan  ,1–0,  Barcelona 
15 August 2018, Barcelona  ,3–0,  Boca Juniors 
6 March 2019, Barcelona ,0–1, Girona 
18 August 2018, Barcelona ,3–0, Alavés 
25 August 2018, Valladolid ,0–1, Barcelona 
2 September 2018, Barcelona ,8–2, Huesca 
15 September 2018, Real Sociedad ,1–2, Barcelona 
23 September 2018, Barcelona ,2–2, Girona 
26 September 2018, Leganés ,2–1, Barcelona 
29 September 2018, Barcelona ,1–1, Athletic Bilbao 
7 October 2018, Valencia ,1–1, Barcelona 
20 October 2018, Barcelona ,4–2, Sevilla 
28 October 2018, Barcelona ,5–1, Real Madrid 
4 November 2018, Rayo Vallecano ,2–3, Barcelona 
11 November 2018, Barcelona ,3–4, Real Betis 
24 November 2018, Atlético Madrid ,1–1, Barcelona 
2 December 2018, Barcelona ,2–0, Villarreal 
8 December 2018, Espanyol ,0–4, Barcelona 
16 December 2018, Levante ,0–5, Barcelona 
22 December 2018, Barcelona ,2–0, Celta Vigo 
6 January 2019, Getafe ,1–2, Barcelona 
13 January 2019, Barcelona ,3–0, Eibar 
20 January 2019, Barcelona ,3–1, Leganés 
27 January 2019, Girona ,0–2, Barcelona 
2 February 2019, Barcelona ,2–2, Valencia 
10 February 2019, Athletic Bilbao ,0–0, Barcelona 
16 February 2019, Barcelona ,1–0, Valladolid 
23 February 2019, Sevilla ,2–4, Barcelona 
2 March 2019, Real Madrid ,0–1, Barcelona 
9 March 2019, Barcelona ,3–1, Rayo Vallecano 
17 March 2019, Real Betis ,1–4, Barcelona 
30 March 2019, Barcelona ,2–0, Espanyol 
2 April 2019, Villarreal ,4–4, Barcelona 
6 April 2019, Barcelona ,2–0, Atlético Madrid 
13 April 2019, Huesca ,0–0, Barcelona 
20 April 2019, Barcelona ,2–1, Real Sociedad 
23 April 2019, Alavés ,0–2, Barcelona 
27 April 2019, Barcelona ,1–0, Levante 
4 May 2019, Celta Vigo ,2–0, Barcelona 
12 May 2019, Barcelona ,2–0, Getafe 
19 May 2019, Eibar ,2–2, Barcelona 
31 October 2018, Cultural Leonesa ,0–1, Barcelona 
5 December 2018, Barcelona ,4–1 , Cultural Leonesa 
10 January 2019, Levante ,2–1, Barcelona 
17 January 2019, Barcelona ,3–0 , Levante 
23 January 2019, Sevilla ,2–0, Barcelona 
30 January 2019, Barcelona ,6–1 , Sevilla 
6 February 2019, Barcelona ,1–1, Real Madrid 
27 February 2019, Real Madrid ,0–3 , Barcelona 
25 May 2019, Barcelona ,1–2, Valencia 
12 August 2018, Sevilla ,1–2, Barcelona 
18 September 2018, Barcelona  ,4–0,  PSV Eindhoven 
3 October 2018, Tottenham Hotspur  ,2–4,  Barcelona 
24 October 2018, Barcelona  ,2–0,  Internazionale 
6 November 2018, Internazionale  ,1–1,  Barcelona 
28 November 2018, PSV Eindhoven  ,1–2,  Barcelona 
11 December 2018, Barcelona  ,1–1,  Tottenham Hotspur 
19 February 2019, Lyon  ,0–0,  Barcelona 
13 March 2019, Barcelona  ,5–1 ,  Lyon 
10 April 2019, Manchester United  ,0–1,  Barcelona 
16 April 2019, Barcelona  ,3–0 ,  Manchester United 
1 May 2019, Barcelona  ,3–0,  Liverpool 
7 May 2019, Liverpool  ,4–0 ,  Barcelona 
